graph_name,nodes,edges,initial_crossings_neato
grafo1000.14.graphml,14,20,2
grafo1001.12.graphml,12,12,0
grafo1002.20.graphml,20,21,0
grafo1003.11.graphml,11,12,0
grafo1004.11.graphml,11,12,0
grafo1005.11.graphml,11,11,0
grafo1006.11.graphml,11,12,1
grafo1007.20.graphml,20,22,1
grafo1008.12.graphml,12,11,0
grafo1009.17.graphml,17,17,0
grafo1010.10.graphml,10,10,0
grafo1011.19.graphml,19,24,1
grafo1012.22.graphml,22,24,0
grafo1013.15.graphml,15,23,4
grafo1014.14.graphml,14,18,1
grafo1015.16.graphml,16,21,5
grafo1016.18.graphml,18,19,0
grafo1017.15.graphml,15,16,0
grafo1018.29.graphml,29,36,3
grafo1019.11.graphml,11,11,0
grafo1020.12.graphml,12,11,0
grafo1021.14.graphml,14,14,0
grafo1022.17.graphml,17,18,1
grafo1023.11.graphml,11,11,0
grafo1024.20.graphml,20,21,1
grafo1025.15.graphml,15,16,0
grafo1026.26.graphml,26,36,10
grafo1027.11.graphml,11,13,0
grafo1028.16.graphml,16,22,4
grafo1029.16.graphml,16,16,0
grafo1030.15.graphml,15,16,1
grafo1031.16.graphml,16,17,1
grafo1032.10.graphml,10,9,0
grafo1033.24.graphml,24,27,0
grafo1034.29.graphml,29,32,4
grafo1035.37.graphml,37,51,16
grafo1036.20.graphml,20,24,0
grafo1037.22.graphml,22,30,3
grafo1038.23.graphml,23,24,0
grafo1039.14.graphml,14,21,6
grafo1040.25.graphml,25,32,1
grafo1041.49.graphml,49,53,2
grafo1042.14.graphml,14,18,0
grafo1043.15.graphml,15,19,0
grafo1044.23.graphml,23,25,0
grafo1045.29.graphml,29,39,13
grafo1046.17.graphml,17,22,5
grafo1047.16.graphml,16,20,2
grafo1048.18.graphml,18,25,6
grafo1049.21.graphml,21,22,0
grafo1050.18.graphml,18,28,13
grafo1051.34.graphml,34,38,0
grafo1052.22.graphml,22,34,9
grafo1053.32.graphml,32,41,2
grafo1054.11.graphml,11,15,2
grafo1055.19.graphml,19,29,5
grafo1056.17.graphml,17,22,3
grafo1057.16.graphml,16,17,0
grafo1058.14.graphml,14,13,0
grafo1059.18.graphml,18,18,0
grafo1060.11.graphml,11,12,0
grafo1061.11.graphml,11,11,0
grafo1062.15.graphml,15,19,1
grafo1063.14.graphml,14,15,0
grafo1064.21.graphml,21,26,2
grafo1065.14.graphml,14,13,0
grafo1066.11.graphml,11,11,0
grafo1067.13.graphml,13,13,0
grafo1068.12.graphml,12,11,0
grafo1069.16.graphml,16,15,0
grafo1070.10.graphml,10,10,0
grafo1071.10.graphml,10,10,0
grafo1072.14.graphml,14,18,3
grafo1073.51.graphml,51,64,19
grafo1074.14.graphml,14,19,2
grafo1075.47.graphml,47,62,21
grafo1076.18.graphml,18,24,8
grafo1077.11.graphml,11,12,0
grafo1078.11.graphml,11,12,0
grafo1079.19.graphml,19,18,0
grafo1080.16.graphml,16,18,0
grafo1081.15.graphml,15,24,6
grafo1082.23.graphml,23,24,0
grafo1083.14.graphml,14,15,0
grafo1084.11.graphml,11,10,0
grafo1085.17.graphml,17,18,1
grafo1086.18.graphml,18,26,7
grafo1087.14.graphml,14,19,2
grafo1088.11.graphml,11,17,2
grafo1089.23.graphml,23,22,0
grafo1090.29.graphml,29,33,1
grafo1091.21.graphml,21,29,2
grafo1092.42.graphml,42,53,14
grafo1093.15.graphml,15,17,2
grafo1094.17.graphml,17,19,0
grafo1095.11.graphml,11,14,1
grafo1096.44.graphml,44,58,16
grafo1097.16.graphml,16,18,2
grafo1098.10.graphml,10,9,0
grafo1099.11.graphml,11,11,0
grafo1100.11.graphml,11,12,1
grafo1101.25.graphml,25,37,10
grafo1102.29.graphml,29,29,1
grafo1103.24.graphml,24,28,0
grafo1104.21.graphml,21,24,0
grafo1105.19.graphml,19,24,2
grafo1106.21.graphml,21,35,24
grafo1107.15.graphml,15,19,1
grafo1108.18.graphml,18,25,2
grafo1109.24.graphml,24,33,9
grafo1110.20.graphml,20,22,1
grafo1111.15.graphml,15,23,10
grafo1112.16.graphml,16,23,2
grafo1113.20.graphml,20,23,0
grafo1114.24.graphml,24,35,2
grafo1115.31.graphml,31,43,11
grafo1116.16.graphml,16,17,1
grafo1117.11.graphml,11,10,0
grafo1118.22.graphml,22,23,2
grafo1119.16.graphml,16,22,6
grafo1120.10.graphml,10,10,0
grafo1121.17.graphml,17,20,1
grafo1122.17.graphml,17,17,0
grafo1123.10.graphml,10,10,0
grafo1124.15.graphml,15,16,1
grafo1125.21.graphml,21,29,7
grafo1126.10.graphml,10,9,0
grafo1127.19.graphml,19,22,2
grafo1128.11.graphml,11,12,0
grafo1129.15.graphml,15,27,13
grafo113.28.graphml,28,31,3
grafo1130.23.graphml,23,39,19
grafo1131.11.graphml,11,12,0
grafo1132.19.graphml,19,19,0
grafo1133.18.graphml,18,23,1
grafo1134.11.graphml,11,12,1
grafo1135.21.graphml,21,22,0
grafo1136.15.graphml,15,17,0
grafo1137.10.graphml,10,9,0
grafo1138.15.graphml,15,14,0
grafo1139.15.graphml,15,14,0
grafo114.26.graphml,26,30,0
grafo1140.15.graphml,15,22,3
grafo1141.47.graphml,47,59,8
grafo1142.15.graphml,15,24,2
grafo1143.18.graphml,18,20,0
grafo1144.16.graphml,16,21,2
grafo1145.18.graphml,18,24,3
grafo1146.18.graphml,18,29,5
grafo1147.18.graphml,18,19,0
grafo1148.17.graphml,17,22,0
grafo1149.29.graphml,29,31,0
grafo115.30.graphml,30,31,0
grafo1150.16.graphml,16,21,4
grafo1151.11.graphml,11,17,2
grafo1152.18.graphml,18,24,4
grafo1153.21.graphml,21,23,1
grafo1154.22.graphml,22,28,3
grafo1155.11.graphml,11,12,1
grafo1156.14.graphml,14,16,0
grafo1157.38.graphml,38,48,10
grafo1158.24.graphml,24,34,6
grafo1159.26.graphml,26,33,4
grafo116.28.graphml,28,38,12
grafo1160.17.graphml,17,23,5
grafo1161.17.graphml,17,18,0
grafo1162.11.graphml,11,11,0
grafo1163.19.graphml,19,18,0
grafo1164.10.graphml,10,10,0
grafo1165.16.graphml,16,23,10
grafo1166.11.graphml,11,12,0
grafo1167.31.graphml,31,34,3
grafo1168.24.graphml,24,25,1
grafo1169.18.graphml,18,20,0
grafo117.20.graphml,20,21,0
grafo1170.27.graphml,27,28,0
grafo1171.22.graphml,22,25,1
grafo1172.19.graphml,19,23,2
grafo1173.16.graphml,16,20,2
grafo1174.33.graphml,33,41,6
grafo1175.19.graphml,19,21,2
grafo1176.11.graphml,11,13,0
grafo1177.16.graphml,16,15,0
grafo1178.29.graphml,29,30,0
grafo1179.17.graphml,17,19,1
grafo118.43.graphml,43,58,20
grafo1180.66.graphml,66,87,28
grafo1181.30.graphml,30,40,7
grafo1182.50.graphml,50,59,3
grafo1183.30.graphml,30,39,4
grafo1184.25.graphml,25,25,1
grafo1185.26.graphml,26,32,8
grafo1186.47.graphml,47,65,35
grafo1187.49.graphml,49,64,8
grafo1188.54.graphml,54,70,11
grafo1189.65.graphml,65,81,14
grafo119.24.graphml,24,33,3
grafo1190.28.graphml,28,32,4
grafo1191.25.graphml,25,27,0
grafo1192.60.graphml,60,79,18
grafo1193.26.graphml,26,28,1
grafo1194.28.graphml,28,30,0
grafo1195.27.graphml,27,31,0
grafo1196.29.graphml,29,36,6
grafo1197.74.graphml,74,95,48
grafo1198.29.graphml,29,29,0
grafo1199.27.graphml,27,30,2
grafo120.40.graphml,40,42,1
grafo1200.27.graphml,27,36,1
grafo1201.28.graphml,28,38,7
grafo1202.28.graphml,28,36,5
grafo1203.25.graphml,25,28,1
grafo1204.27.graphml,27,31,1
grafo1205.56.graphml,56,76,26
grafo1206.29.graphml,29,36,3
grafo1207.29.graphml,29,35,4
grafo1208.27.graphml,27,33,1
grafo1209.29.graphml,29,32,1
grafo121.20.graphml,20,25,5
grafo1210.51.graphml,51,60,4
grafo1211.56.graphml,56,65,12
grafo1212.53.graphml,53,72,28
grafo1213.68.graphml,68,86,18
grafo1214.26.graphml,26,26,0
grafo1215.62.graphml,62,82,38
grafo1216.27.graphml,27,28,0
grafo1217.27.graphml,27,29,1
grafo1218.26.graphml,26,28,0
grafo1219.44.graphml,44,48,1
grafo122.12.graphml,12,11,0
grafo1220.25.graphml,25,31,1
grafo1221.27.graphml,27,36,11
grafo1222.52.graphml,52,59,3
grafo1223.30.graphml,30,38,7
grafo1224.27.graphml,27,27,0
grafo1225.25.graphml,25,27,0
grafo1226.32.graphml,32,34,0
grafo1227.30.graphml,30,39,7
grafo1228.31.graphml,31,37,4
grafo1229.27.graphml,27,31,2
grafo123.21.graphml,21,26,5
grafo1230.26.graphml,26,29,0
grafo1231.35.graphml,35,44,11
grafo1232.27.graphml,27,31,2
grafo1233.70.graphml,70,94,46
grafo1234.25.graphml,25,33,9
grafo1235.67.graphml,67,88,31
grafo1236.48.graphml,48,54,3
grafo1237.30.graphml,30,35,2
grafo1238.67.graphml,67,86,17
grafo1239.28.graphml,28,31,5
grafo124.28.graphml,28,29,1
grafo1240.49.graphml,49,63,17
grafo1241.27.graphml,27,33,9
grafo1242.29.graphml,29,35,1
grafo1243.28.graphml,28,29,0
grafo1244.26.graphml,26,28,0
grafo1245.25.graphml,25,29,1
grafo1246.30.graphml,30,36,6
grafo1247.58.graphml,58,68,7
grafo1248.26.graphml,26,26,0
grafo1249.28.graphml,28,33,2
grafo125.32.graphml,32,37,2
grafo1250.29.graphml,29,36,1
grafo1251.25.graphml,25,26,0
grafo1252.30.graphml,30,34,2
grafo1253.27.graphml,27,32,1
grafo1254.45.graphml,45,49,0
grafo1255.32.graphml,32,37,3
grafo1256.30.graphml,30,33,0
grafo1257.31.graphml,31,50,28
grafo1258.27.graphml,27,31,1
grafo1259.29.graphml,29,34,4
grafo126.22.graphml,22,30,6
grafo1260.51.graphml,51,66,22
grafo1261.30.graphml,30,40,9
grafo1262.53.graphml,53,74,38
grafo1263.25.graphml,25,29,0
grafo1264.28.graphml,28,30,0
grafo1265.46.graphml,46,53,17
grafo1266.23.graphml,23,25,0
grafo1267.29.graphml,29,33,2
grafo1268.55.graphml,55,70,6
grafo1269.26.graphml,26,28,1
grafo127.21.graphml,21,21,1
grafo1270.60.graphml,60,73,9
grafo1271.25.graphml,25,30,5
grafo1272.26.graphml,26,34,5
grafo1273.26.graphml,26,27,1
grafo1274.57.graphml,57,68,10
grafo1275.26.graphml,26,27,1
grafo1276.26.graphml,26,32,3
grafo1277.34.graphml,34,46,21
grafo1278.27.graphml,27,30,1
grafo1279.45.graphml,45,58,21
grafo128.35.graphml,35,42,6
grafo1280.28.graphml,28,32,3
grafo1281.28.graphml,28,30,3
grafo1282.27.graphml,27,33,2
grafo1283.28.graphml,28,35,3
grafo1284.29.graphml,29,40,8
grafo1285.26.graphml,26,30,3
grafo1286.27.graphml,27,31,3
grafo1287.26.graphml,26,28,1
grafo1288.26.graphml,26,29,2
grafo1289.28.graphml,28,31,0
grafo129.48.graphml,48,58,9
grafo1290.27.graphml,27,35,5
grafo1291.28.graphml,28,38,7
grafo1292.28.graphml,28,36,4
grafo1293.28.graphml,28,32,2
grafo1294.63.graphml,63,79,20
grafo1295.25.graphml,25,29,2
grafo1296.46.graphml,46,59,11
grafo1297.54.graphml,54,67,16
grafo1298.66.graphml,66,82,23
grafo1299.47.graphml,47,57,8
grafo130.31.graphml,31,36,2
grafo1300.66.graphml,66,88,58
grafo1301.31.graphml,31,40,7
grafo1302.65.graphml,65,87,34
grafo1303.68.graphml,68,84,17
grafo1304.27.graphml,27,29,0
grafo1305.51.graphml,51,62,24
grafo1306.27.graphml,27,29,0
grafo1307.50.graphml,50,71,25
grafo1308.27.graphml,27,30,0
grafo1309.25.graphml,25,26,0
grafo131.23.graphml,23,26,0
grafo1310.46.graphml,46,61,24
grafo1311.28.graphml,28,34,2
grafo1312.26.graphml,26,29,0
grafo1313.31.graphml,31,38,7
grafo1314.25.graphml,25,27,2
grafo1315.29.graphml,29,31,1
grafo1316.28.graphml,28,30,0
grafo1317.68.graphml,68,87,20
grafo1318.26.graphml,26,36,5
grafo1319.25.graphml,25,31,2
grafo132.21.graphml,21,27,1
grafo1320.27.graphml,27,37,8
grafo1321.25.graphml,25,29,0
grafo1322.30.graphml,30,37,3
grafo1323.26.graphml,26,27,2
grafo1324.27.graphml,27,28,0
grafo1325.24.graphml,24,23,0
grafo1326.27.graphml,27,29,1
grafo1327.50.graphml,50,59,6
grafo1328.54.graphml,54,71,31
grafo1329.33.graphml,33,39,5
grafo133.16.graphml,16,17,2
